x,y,z_COG,w_COG,z_MoM,w_MoM,z_ModMoM,w_ModMoM,z_CA,w_CA,,,x,y,z_COG,z_MOM,z_ModifiedMOM,z_CA,w_COG,w_MOM,w_ModifiedMOM,w_CA,,Z_COG差,W_COG差,,z_MoM差,w_MoM差,,z_ModMoM差,w_ModMoM差,,Z_CA,W_CA
-3.9,1.2,5.119953596,1125.687758,5.05,1159.95,5.05,1159.95,5.7875,1149.95,,,-3.9,1.2,5.119953596,5,5,5.75,1125.979834,1160,1160,1150,,0,-0.053061223,,0.05,-0.05,,0.05,-0.05,,3.75E-02,-0.05
-3.9,1.3,5.31627907,1118.307815,5,1139.95,5,1139.95,6.392857143,1135.664286,,,-3.9,1.3,5.31627907,5,5,6.392857143,1118.588785,1140,1140,1135.714286,,0,-0.051041665,,0,-0.05,,0,-0.05,,1.43E-10,-0.049999714
-3.9,1.4,6.081679389,1118.307815,8.5,1139.95,8.5,1139.95,7.333333333,1133.283333,,,-3.9,1.4,6.081679389,8.5,8.5,7.333333333,1118.588785,1140,1140,1133.333333,,-1.07E-14,-0.051041665,,0,-0.05,,0,-0.05,,-3.33E-10,-0.050000333
-3.9,1.5,8.081578947,1122.196299,8.75,1149.95,8.75,1149.95,8.75,1149.95,,,-3.9,1.5,8.081578947,8.75,8.75,8.75,1122.481728,1150,1150,1150,,0,-0.05185185,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.9,1.6,8.169483568,1125.687758,9,1159.95,9,1159.95,9,1159.95,,,-3.9,1.6,8.169483568,9,9,9,1125.979834,1160,1160,1160,,0,-0.053061223,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.9,1.7,8.245454545,1128.690535,9.25,1169.95,9.25,1169.95,9.25,1169.95,,,-3.9,1.7,8.245454545,9.25,9.25,9.25,1128.992337,1170,1170,1170,,0,-0.054832345,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.9,1.8,8.306557377,1131.082409,9.5,1179.95,9.5,1179.95,9.5,1179.95,,,-3.9,1.8,8.306557377,9.5,9.5,9.5,1131.39834,1180,1180,1180,,0,-0.057407406,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.9,1.9,8.348809524,1132.696695,9.75,1189.95,9.75,1189.95,9.75,1189.95,,,-3.9,1.9,8.348809524,9.75,9.75,9.75,1133.033183,1190,1190,1190,,0,-0.061157024,,0,-0.05,,0,-0.05,,0.00E+00,-0.05
-3.9,2,8.364762466,1133.260143,9.95,1197.45,9.95,1197.45,9.95,1197.45,,,-3.9,2,8.364762466,9.95,9.95,9.9375,1133.618123,1197.5,1197.5,1197.5,,0,-0.065080309,,0,-0.05,,0,-0.05,,1.25E-02,-0.05
-3.8,0,1.638921684,1133.142782,0.1,1194.95,0.1,1194.95,0.1,1194.95,,,-3.8,0,1.638921684,0.1,0.1,0.125,1133.492891,1195,1195,1195,,0,-0.063643234,,0,-0.05,,0,-0.05,,-2.50E-02,-0.05
