x,y,z_COG,w_COG,z_MoM,w_MoM,z_ModMoM,w_ModMoM,z_CA,w_CA
-3.9,0.0,1.635237534354142,1133.2601431593534,0.05,1197.450000000136,0.05,1197.4500000001358,0.05,1197.4500000001358
-3.9,0.1,1.6511904761904759,1132.6966954677202,0.25,1189.9500000001342,0.25,1189.9500000001342,0.25,1189.9500000001342
-3.9,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.9,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.9,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.9,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.9,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.9,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.9,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.9,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-3.9,1.0,4.999999999999999,1133.2601431593534,5.0,1197.450000000136,5.0,1197.4500000001358,5.0,1197.4500000001358
-3.9,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-3.9,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.9,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.9,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.9,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.9,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-3.9,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-3.9,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.9,1.9,8.348809523809525,1132.6966954677202,9.750000000000002,1189.9500000001342,9.75,1189.9500000001342,9.75,1189.9500000001342
-3.9,2.0,8.364762465645855,1133.2601431593534,9.95,1197.450000000136,9.95,1197.4500000001358,9.95,1197.4500000001358
-3.8,0.0,1.6389216843762298,1133.1427822773614,0.10000000000000002,1194.9500000001353,0.1,1194.9500000001353,0.1,1194.9500000001353
-3.8,0.1,1.6511904761904759,1132.6966954677202,0.25,1189.9500000001342,0.25,1189.9500000001342,0.25,1189.9500000001342
-3.8,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.8,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.8,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.8,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.8,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.8,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.8,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.8,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-3.8,1.0,5.0,1133.1427822773614,5.0,1194.9500000001353,5.0,1194.9500000001353,5.0,1194.9500000001353
-3.8,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-3.8,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.8,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.8,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.8,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.8,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-3.8,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-3.8,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.8,1.9,8.348809523809525,1132.6966954677202,9.750000000000002,1189.9500000001342,9.75,1189.9500000001342,9.75,1189.9500000001342
-3.8,2.0,8.36107831562377,1133.1427822773614,9.9,1194.9500000001353,9.9,1194.9500000001353,9.9,1194.9500000001353
-3.7,0.0,1.6442733017377564,1132.953327128982,0.15000000000000002,1192.4500000001347,0.15000000000000002,1192.4500000001349,0.15000000000000002,1192.4500000001349
-3.7,0.1,1.6511904761904759,1132.6966954677202,0.25,1189.9500000001342,0.25,1189.9500000001342,0.25,1189.9500000001342
-3.7,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.7,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.7,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.7,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.7,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.7,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.7,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.7,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-3.7,1.0,4.999999999999999,1132.953327128982,5.0,1192.4500000001347,5.0,1192.4500000001349,5.0,1192.4500000001349
-3.7,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-3.7,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.7,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.7,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.7,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.7,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-3.7,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-3.7,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.7,1.9,8.348809523809525,1132.6966954677202,9.750000000000002,1189.9500000001342,9.75,1189.9500000001342,9.75,1189.9500000001342
-3.7,2.0,8.355726698262242,1132.953327128982,9.85,1192.4500000001347,9.850000000000001,1192.4500000001349,9.850000000000001,1192.4500000001349
-3.6,0.0,1.6511904761904759,1132.6966954677202,0.25,1189.9500000001342,0.25,1189.9500000001342,0.25,1189.9500000001342
-3.6,0.1,1.6511904761904759,1132.6966954677202,0.25,1189.9500000001342,0.25,1189.9500000001342,0.25,1189.9500000001342
-3.6,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.6,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.6,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.6,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.6,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.6,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.6,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.6,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-3.6,1.0,5.0,1132.6966954677202,4.950000000000001,1189.9500000001342,4.95,1189.9500000001342,4.95,1189.9500000001342
-3.6,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-3.6,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.6,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.6,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.6,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.6,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-3.6,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-3.6,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.6,1.9,8.348809523809525,1132.6966954677202,9.750000000000002,1189.9500000001342,9.75,1189.9500000001342,9.75,1189.9500000001342
-3.6,2.0,8.348809523809527,1132.6966954677202,9.8,1189.9500000001342,9.8,1189.9500000001342,9.8,1189.9500000001342
-3.5,0.0,1.6597923737272906,1132.377367719068,0.3,1187.4500000001335,0.30000000000000004,1187.4500000001335,0.3000000000000001,1187.4500000001335
-3.5,0.1,1.6597923737272906,1132.377367719068,0.3,1187.4500000001335,0.30000000000000004,1187.4500000001335,0.3000000000000001,1187.4500000001335
-3.5,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.5,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.5,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.5,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.5,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.5,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.5,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.5,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-3.5,1.0,4.999999999999999,1132.377367719068,5.000000000000001,1187.4500000001335,5.0,1187.4500000001335,5.0,1187.4500000001335
-3.5,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-3.5,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.5,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.5,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.5,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.5,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-3.5,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-3.5,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.5,1.9,8.34020762627271,1132.377367719068,9.700000000000001,1187.4500000001335,9.7,1187.4500000001335,9.7,1187.4500000001335
-3.5,2.0,8.34020762627271,1132.377367719068,9.700000000000001,1187.4500000001335,9.7,1187.4500000001335,9.7,1187.4500000001335
-3.4,0.0,1.6697506033789222,1131.999434536836,0.35000000000000003,1184.950000000133,0.35000000000000003,1184.950000000133,0.35000000000000003,1184.950000000133
-3.4,0.1,1.6697506033789222,1131.999434536836,0.35000000000000003,1184.950000000133,0.35000000000000003,1184.950000000133,0.35000000000000003,1184.950000000133
-3.4,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.4,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.4,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.4,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.4,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.4,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.4,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.4,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-3.4,1.0,4.999999999999999,1131.999434536836,5.000000000000001,1184.950000000133,5.0,1184.950000000133,5.0,1184.950000000133
-3.4,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-3.4,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.4,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.4,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.4,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.4,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-3.4,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-3.4,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.4,1.9,8.330249396621076,1131.999434536836,9.65,1184.950000000133,9.65,1184.950000000133,9.65,1184.950000000133
-3.4,2.0,8.330249396621076,1131.999434536836,9.65,1184.950000000133,9.65,1184.950000000133,9.65,1184.950000000133
-3.3,0.0,1.6809900588354632,1131.5666382858747,0.4000000000000001,1182.4500000001324,0.4,1182.4500000001326,0.4,1182.4500000001326
-3.3,0.1,1.6809900588354632,1131.5666382858747,0.4000000000000001,1182.4500000001324,0.4,1182.4500000001326,0.4,1182.4500000001326
-3.3,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.3,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.3,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.3,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.3,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.3,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.3,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.3,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-3.3,1.0,4.999999999999999,1131.5666382858747,5.0,1182.4500000001324,5.0,1182.4500000001326,5.0,1182.4500000001326
-3.3,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-3.3,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.3,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.3,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.3,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.3,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-3.3,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-3.3,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.3,1.9,8.319009941164538,1131.5666382858747,9.600000000000001,1182.4500000001324,9.600000000000001,1182.4500000001326,9.600000000000001,1182.4500000001326
-3.3,2.0,8.319009941164538,1131.5666382858747,9.600000000000001,1182.4500000001324,9.600000000000001,1182.4500000001326,9.600000000000001,1182.4500000001326
-3.2,0.0,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.2,0.1,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.2,0.2,1.6934426229508197,1131.0824093373021,0.5000000000000001,1179.950000000132,0.5,1179.950000000132,0.5,1179.950000000132
-3.2,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.2,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.2,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.2,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.2,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.2,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.2,0.9,4.9697722567287785,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,4.694444444444444,1172.1722222223523
-3.2,1.0,5.0,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.0,1179.950000000132
-3.2,1.1,5.030227743271221,1131.0824093373021,5.0,1179.950000000132,5.0,1179.950000000132,5.305555555555555,1172.1722222223523
-3.2,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.2,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.2,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.2,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.2,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
-3.2,1.7,8.245454545454548,1128.6905348211596,9.25,1169.9500000001296,9.25,1169.9500000001296,9.25,1169.9500000001296
-3.2,1.8,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.2,1.9,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.2,2.0,8.30655737704918,1131.0824093373021,9.500000000000002,1179.950000000132,9.5,1179.950000000132,9.5,1179.950000000132
-3.1,0.0,1.7071724709784408,1130.5498979175945,0.5500000000000002,1177.4500000001315,0.55,1177.4500000001312,0.55,1177.4500000001312
-3.1,0.1,1.7071724709784408,1130.5498979175945,0.5500000000000002,1177.4500000001315,0.55,1177.4500000001312,0.55,1177.4500000001312
-3.1,0.2,1.7071724709784408,1130.5498979175945,0.5500000000000002,1177.4500000001315,0.55,1177.4500000001312,0.55,1177.4500000001312
-3.1,0.3,1.7545454545454549,1128.6905348211596,0.75,1169.9500000001296,0.75,1169.9500000001296,0.7499999999999999,1169.9500000001296
-3.1,0.4,1.8305164319248826,1125.6877575325245,1.0,1159.9500000001274,1.0,1159.9500000001274,1.0,1159.9500000001274
-3.1,0.5,1.9184210526315795,1122.196298766326,1.25,1149.9500000001249,1.25,1149.950000000125,1.25,1149.950000000125
-3.1,0.6,3.9183206106870214,1118.307814942239,1.5,1139.9500000001228,1.5,1139.9500000001228,2.6666666666666665,1133.2833333334547
-3.1,0.7,4.683720930232558,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,3.6071428571428568,1135.6642857144075
-3.1,0.8,4.880046403712297,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,4.2875,1149.950000000125
-3.1,0.9,4.969433685753167,1130.5498979175945,5.0,1177.4500000001315,5.0,1177.4500000001312,4.685714285714285,1169.7357142858439
-3.1,1.0,4.999999999999999,1130.5498979175945,5.0,1177.4500000001315,5.0,1177.4500000001312,5.0,1177.4500000001312
-3.1,1.1,5.030566314246832,1130.5498979175945,5.0,1177.4500000001315,5.0,1177.4500000001312,5.314285714285714,1169.7357142858436
-3.1,1.2,5.119953596287701,1125.6877575325248,5.05,1159.9500000001274,5.05,1159.9500000001274,5.7875,1149.950000000125
-3.1,1.3,5.316279069767444,1118.3078149422388,5.0,1139.9500000001228,5.0,1139.9500000001228,6.392857142857142,1135.6642857144075
-3.1,1.4,6.081679389312978,1118.3078149422388,8.5,1139.9500000001228,8.5,1139.9500000001228,7.333333333333333,1133.2833333334547
-3.1,1.5,8.081578947368422,1122.196298766326,8.750000000000002,1149.9500000001249,8.75,1149.950000000125,8.75,1149.950000000125
-3.1,1.6,8.169483568075112,1125.6877575325248,9.0,1159.9500000001274,9.0,1159.9500000001274,9.0,1159.9500000001274
